"subjectId" "activity" "variable" "mean"
1 "standing" "tBodyAcc_Mean_X" 0.265696920582133
1 "standing" "tBodyAcc_Mean_Y" -0.0182981725176081
1 "standing" "tBodyAcc_Mean_Z" -0.10784573454611
1 "standing" "tBodyAcc_StandardDev_X" -0.545795331328326
1 "standing" "tBodyAcc_StandardDev_Y" -0.367716218227378
1 "standing" "tBodyAcc_StandardDev_Z" -0.502645746562824
1 "standing" "tGravityAcc_Mean_X" 0.744867411573487
1 "standing" "tGravityAcc_Mean_Y" -0.0825562579855908
1 "standing" "tGravityAcc_Mean_Z" 0.072339870389049
1 "standing" "tGravityAcc_StandardDev_X" -0.959859435936599
1 "standing" "tGravityAcc_StandardDev_Y" -0.951150627458213
1 "standing" "tGravityAcc_StandardDev_Z" -0.925817590867435
1 "standing" "tBodyAccJerk_Mean_X" 0.0770930495126801
1 "standing" "tBodyAccJerk_Mean_Y" 0.0165908438802305
1 "standing" "tBodyAccJerk_Mean_Z" -0.00910758730117003
1 "standing" "tBodyAccJerk_StandardDev_X" -0.524721922818732
1 "standing" "tBodyAccJerk_StandardDev_Y" -0.470412403511239
1 "standing" "tBodyAccJerk_StandardDev_Z" -0.717322274881844
1 "standing" "tBodyGyro_Mean_X" -0.0208764064320173
1 "standing" "tBodyGyro_Mean_Y" -0.0880722729400576
1 "standing" "tBodyGyro_Mean_Z" 0.0862641666597983
1 "standing" "tBodyGyro_StandardDev_X" -0.686555715201729
1 "standing" "tBodyGyro_StandardDev_Y" -0.450979810499568
1 "standing" "tBodyGyro_StandardDev_Z" -0.597496136795101
1 "standing" "tBodyGyroJerk_Mean_X" -0.0971120197265994
1 "standing" "tBodyGyroJerk_Mean_Y" -0.0417164808293948
1 "standing" "tBodyGyroJerk_Mean_Z" -0.0471393985477522
1 "standing" "tBodyGyroJerk_StandardDev_X" -0.637812687210375
1 "standing" "tBodyGyroJerk_StandardDev_Y" -0.634472244550432
1 "standing" "tBodyGyroJerk_StandardDev_Z" -0.664591977786455
1 "standing" "tBodyAccMag_Mean" -0.453632943768818
1 "standing" "tBodyAccMag_StandardDev" -0.497096402038329
1 "standing" "tGravityAccMag_Mean" -0.453632943768818
1 "standing" "tGravityAccMag_StandardDev" -0.497096402038329
